policy_id,exposure,driver_age,years_licensed,vehicle_age,vehicle_type,engine_power_kw,annual_mileage_km,region,urban_density,garage,bonus_malus,prior_claims_3y,commercial_use,telematics_opt_in,sum_insured,policy_year,num_claims,total_claim_amount,avg_claim_amount
P0000081,1.0,39,20,2,SUV,144,8201,NW,urban,False,0.8494815251126308,0,False,False,39136.5363816692,2025,0,0.0,0.0
P0000082,0.75,45,28,4,sedan,83,4945,NW,urban,True,0.9873826073780576,0,False,False,47284.30867485134,2024,0,0.0,0.0
P0000083,0.75,26,7,7,sedan,96,20526,NW,urban,False,1.2137702805743422,0,False,False,38455.820157330876,2023,0,0.0,0.0
P0000084,1.0,37,18,4,sedan,71,6990,NW,urban,False,1.3011806923202949,0,False,False,37296.07644405778,2024,0,0.0,0.0
P0000085,1.0,21,3,3,hatchback,72,16548,NW,urban,True,1.1644918507440898,0,False,True,40926.60901530971,2025,0,0.0,0.0
P0000086,1.0,40,22,0,SUV,110,27206,NW,urban,True,1.0462036510195323,0,False,False,64012.162933741616,2023,0,0.0,0.0
P0000087,0.5,36,20,8,sedan,122,19690,NW,urban,False,1.1219103027145594,0,False,True,33794.45193526462,2023,0,0.0,0.0
P0000088,1.0,28,11,2,hatchback,50,12666,NW,urban,True,1.0336752566422789,0,False,True,46495.75097938927,2025,0,0.0,0.0
P0000089,1.0,25,6,7,sedan,104,11934,NW,urban,False,0.8530836913327534,0,False,False,49575.845103634834,2024,0,0.0,0.0
P0000090,1.0,41,25,4,SUV,144,6068,NW,urban,True,1.0572467688006122,0,False,False,40980.47232397727,2024,0,0.0,0.0
P0000091,1.0,31,13,6,sedan,115,4952,NW,urban,False,0.8673047702019308,0,False,False,46364.58162781395,2024,0,0.0,0.0
P0000092,0.5,56,37,4,SUV,108,13253,NW,urban,False,0.7176966879861043,0,False,False,54452.11916651008,2024,0,0.0,0.0
P0000093,0.75,40,22,6,van,122,12139,NW,urban,False,0.9417631867318584,0,False,True,51323.71449917586,2025,0,0.0,0.0
P0000094,1.0,34,15,7,SUV,139,9388,NW,urban,False,0.8160074398185594,0,False,False,47607.854971758454,2025,0,0.0,0.0
P0000095,1.0,41,22,7,sedan,100,8302,NW,urban,True,1.0505459353778617,0,False,True,40194.13896732495,2025,0,0.0,0.0
P0000096,1.0,18,2,7,sedan,87,14242,NW,urban,True,1.030996713482439,0,False,True,49513.54036078747,2023,0,0.0,0.0
P0000097,1.0,79,60,5,sedan,107,12521,NW,urban,True,1.1474549338211892,0,False,False,37141.96860244003,2023,0,0.0,0.0
P0000098,1.0,42,24,7,sedan,78,32512,NW,urban,False,1.0876863135268864,0,False,True,41638.544061611065,2024,0,0.0,0.0
P0000099,1.0,52,34,7,sedan,111,7492,NW,urban,False,0.7663599469187506,0,False,False,57316.054628222315,2024,0,0.0,0.0
P0000100,1.0,27,9,5,SUV,104,15397,NW,urban,True,0.9051212784539828,0,False,False,43794.85134625589,2024,0,0.0,0.0
P0000101,1.0,40,23,2,SUV,128,13516,NW,urban,False,1.1338259471561536,0,False,True,37335.91803234315,2025,0,0.0,0.0
P0000102,1.0,40,23,11,hatchback,72,19573,NW,urban,True,1.0684650724512275,0,False,False,41697.40750831436,2023,0,0.0,0.0
P0000103,1.0,57,40,2,sports,174,29637,NW,urban,True,1.031732065875053,1,True,True,38583.57728886278,2025,0,0.0,0.0
P0000104,1.0,39,23,3,sports,178,13871,NW,urban,True,1.0546949665589642,0,False,False,40651.74357972356,2025,1,5621.52,5621.52
P0000105,1.0,42,23,2,hatchback,68,19402,NW,urban,True,0.8642361346303421,0,False,False,42735.12946246022,2025,0,0.0,0.0
P0000106,1.0,29,11,3,sports,189,27410,NW,urban,True,0.9540476681842508,0,False,False,48732.80555940909,2024,1,2438.17,2438.17
P0000107,1.0,37,20,8,sedan,130,12843,NW,urban,False,1.0575607449316469,0,False,False,27778.971384382607,2024,0,0.0,0.0
P0000108,1.0,40,24,9,hatchback,107,18009,NW,urban,False,0.9195968377963896,0,False,True,36970.22967457547,2023,0,0.0,0.0
P0000109,1.0,37,19,5,SUV,160,7170,NW,urban,True,1.0813176206746395,0,False,False,46878.190154723074,2023,0,0.0,0.0
P0000110,0.75,20,1,10,hatchback,107,23870,NW,urban,True,1.134169143100652,0,False,True,49507.1144516511,2023,0,0.0,0.0
P0000111,1.0,51,32,7,SUV,161,36945,NW,urban,True,0.9775379371457269,0,False,False,6634.7879818335705,2023,0,0.0,0.0
P0000112,1.0,57,40,2,van,93,25966,NW,urban,False,1.181869519131854,0,False,False,49924.87452245559,2024,0,0.0,0.0
P0000113,1.0,30,13,10,sedan,103,7232,NW,urban,True,1.118174541730893,0,False,False,18708.97347897138,2024,1,2888.64,2888.64
P0000114,1.0,39,21,10,sedan,145,3920,NW,urban,False,1.0560032354863085,0,False,False,40402.41552439404,2024,0,0.0,0.0
P0000115,1.0,23,5,6,hatchback,80,11896,NW,urban,False,1.1697882905298527,0,False,False,45600.59189851019,2025,0,0.0,0.0
P0000116,1.0,45,28,7,sedan,87,9474,NW,urban,False,0.9201334142270693,0,False,False,52043.14368342373,2024,1,1598.95,1598.95
P0000117,0.5,36,17,4,sedan,120,12438,NW,urban,False,1.096780775335016,0,False,False,48757.68516682035,2023,0,0.0,0.0
P0000118,1.0,46,28,6,SUV,173,3747,NW,urban,True,1.172533824347033,0,False,False,39772.19225219025,2025,0,0.0,0.0
P0000119,1.0,43,24,5,van,112,10535,NW,urban,False,0.908314813728501,0,False,False,31113.87101586826,2023,0,0.0,0.0
P0000120,1.0,43,27,7,sedan,106,20823,NW,urban,False,1.1873290068328395,0,False,False,35902.054449023264,2023,0,0.0,0.0
P0000121,0.75,27,9,7,sedan,133,9775,NW,urban,False,1.1477448927087441,0,False,False,30507.36446877367,2024,1,283.18,283.18
P0000122,1.0,56,39,8,sedan,89,4343,NW,urban,True,1.0070280369319309,0,False,False,48591.45692256674,2023,0,0.0,0.0
P0000123,1.0,28,9,9,sedan,118,10378,NW,urban,False,0.752581339469499,1,False,True,53291.00650534632,2023,0,0.0,0.0
P0000124,1.0,18,0,3,hatchback,74,14805,NW,urban,False,1.2270162359224686,0,False,False,15984.717185955622,2023,1,859.68,859.68
P0000125,1.0,38,20,6,sedan,96,5373,NW,urban,False,1.1049265702936941,0,False,False,49098.93140193404,2023,0,0.0,0.0
P0000126,1.0,37,19,5,sedan,94,22594,NW,urban,True,0.9150605053371502,0,False,False,35587.54731937196,2023,0,0.0,0.0
P0000127,1.0,51,35,6,SUV,144,26058,NW,urban,False,0.987043691787309,0,False,False,63413.53653206496,2025,0,0.0,0.0
P0000128,1.0,51,33,8,hatchback,79,13301,NW,urban,False,0.965015970100577,0,False,False,43028.823467609094,2025,0,0.0,0.0
P0000129,1.0,36,17,8,sedan,130,13872,NW,urban,True,0.6180710756329441,0,False,True,49326.9783088395,2023,1,3879.53,3879.53
P0000130,1.0,76,60,4,SUV,120,12484,NW,urban,True,0.862375278639473,0,False,False,34233.947271334626,2024,1,1461.27,1461.27
P0000131,1.0,34,18,6,SUV,196,11439,NW,urban,True,0.844071888864818,0,False,True,63962.94193280786,2024,0,0.0,0.0
P0000132,1.0,39,23,7,sedan,115,14211,NW,urban,False,0.9943172977939184,0,False,False,33960.71863721536,2023,0,0.0,0.0
P0000133,1.0,30,13,6,van,102,11933,NW,urban,True,0.958661346179809,0,False,False,42654.76558343828,2024,0,0.0,0.0
P0000134,1.0,57,41,7,SUV,156,6467,NW,urban,False,0.6845534484704777,0,False,False,49021.50725752472,2024,0,0.0,0.0
P0000135,0.75,30,12,5,SUV,109,8906,NW,urban,False,0.9199764350124198,0,False,False,48224.74767952233,2025,0,0.0,0.0
P0000136,1.0,20,4,4,SUV,181,38589,NW,urban,True,1.0433086374136034,0,False,False,41628.74100914779,2024,0,0.0,0.0
P0000137,1.0,37,21,3,SUV,126,6962,NW,urban,True,1.0764385321716712,0,False,True,44255.193564895555,2024,0,0.0,0.0
P0000138,1.0,61,45,4,van,114,15951,NW,urban,False,0.8168272819461322,0,True,False,34999.811289433004,2024,0,0.0,0.0
P0000139,1.0,55,37,5,hatchback,90,16143,NW,urban,True,1.069248300096718,0,False,False,42649.7034216647,2024,0,0.0,0.0
P0000140,1.0,46,30,7,sedan,103,15525,NW,urban,True,1.0840177483159854,0,False,False,29076.37333632033,2025,0,0.0,0.0
P0000141,1.0,57,39,8,van,110,16087,NW,urban,False,1.1180087082328867,0,False,False,43184.22124811617,2024,0,0.0,0.0
P0000142,0.5,53,35,5,hatchback,77,7513,NW,urban,False,1.020401296164706,0,False,False,52516.61603118064,2023,0,0.0,0.0
P0000143,0.75,40,23,9,hatchback,88,22114,NW,urban,True,0.9501837575154868,0,False,False,52457.62746332169,2024,0,0.0,0.0
P0000144,1.0,37,21,6,sedan,123,10965,NW,urban,True,1.1154716498281565,0,False,True,8711.190729095564,2025,1,595.01,595.01
P0000145,1.0,51,33,10,sedan,110,13366,NW,urban,False,0.964148222521533,0,False,False,41435.71594230383,2024,2,1629.6,814.8
P0000146,1.0,46,29,3,SUV,146,9616,NW,urban,False,1.1451843401184145,1,False,False,38759.15851955758,2025,0,0.0,0.0
P0000147,1.0,34,16,6,sedan,98,10904,NW,urban,True,1.1973234869888714,0,False,False,51416.90098576688,2025,0,0.0,0.0
P0000148,1.0,23,4,4,hatchback,62,11015,NW,urban,False,1.2369494680555182,0,False,False,49361.19473184465,2023,0,0.0,0.0
P0000149,1.0,44,28,5,van,113,17715,NW,urban,False,0.8025591980444703,0,False,False,41760.721140065056,2023,0,0.0,0.0
P0000150,1.0,29,10,6,hatchback,64,7483,NW,urban,False,0.9646425857620965,0,False,False,32372.120814135174,2023,0,0.0,0.0
P0000151,1.0,57,41,6,van,125,7648,NW,urban,False,1.0383852090833448,0,False,False,49875.290797421294,2023,0,0.0,0.0
P0000152,1.0,31,13,6,sedan,91,7955,NW,urban,True,0.9229057196165885,0,False,False,35403.88145800361,2025,0,0.0,0.0
P0000153,1.0,27,11,7,hatchback,80,19449,NW,urban,False,1.2151013124944368,0,False,False,33042.820134763184,2025,0,0.0,0.0
P0000154,1.0,48,32,6,sedan,122,17926,NW,urban,True,1.3619340708372458,0,False,False,51173.82012336501,2025,1,2991.86,2991.86
P0000155,1.0,29,12,6,SUV,163,12148,NW,urban,False,1.1576415454689022,0,False,False,52095.834230162734,2025,0,0.0,0.0
P0000156,1.0,31,13,7,van,98,18102,NW,urban,True,0.8796111283963884,0,False,True,52792.67831412407,2023,0,0.0,0.0
P0000157,1.0,38,21,8,sedan,151,6887,NW,urban,True,0.9122444906440768,1,False,False,51492.908796611606,2024,0,0.0,0.0
P0000158,1.0,53,36,0,sports,157,7903,NW,urban,False,1.0859026451659652,0,False,False,35044.83284222967,2024,0,0.0,0.0
P0000159,1.0,29,13,5,sedan,66,39634,NW,urban,False,0.8730892918590606,0,False,False,53039.977042074104,2023,0,0.0,0.0
P0000160,0.75,33,15,9,hatchback,50,11315,NW,urban,True,0.877169279529971,0,False,False,34801.924888753965,2023,0,0.0,0.0
P0000161,1.0,48,31,6,sedan,78,23487,NW,urban,True,0.9703719576526686,0,False,False,35653.0114647695,2023,0,0.0,0.0
P0000162,0.5,64,45,6,SUV,114,10497,NW,urban,True,1.2551271877459351,0,False,True,9179.509605207264,2023,0,0.0,0.0
P0000163,1.0,42,25,4,hatchback,68,12805,NW,urban,False,1.1387329869989402,0,False,False,29023.042947675964,2023,0,0.0,0.0
P0000164,1.0,28,10,7,hatchback,69,17063,NW,urban,True,0.9079250348478516,0,False,False,24607.8681615594,2024,0,0.0,0.0
P0000165,1.0,20,1,5,SUV,131,13369,NW,urban,True,0.8958106450512763,0,False,True,47223.072384524785,2023,0,0.0,0.0
P0000166,1.0,30,11,8,sedan,85,11198,NW,urban,False,1.170717012746406,0,False,False,21736.723168539458,2025,0,0.0,0.0
P0000167,0.75,30,13,7,SUV,139,10756,NW,urban,True,0.6413110640634281,0,False,False,48237.317808947395,2023,0,0.0,0.0
P0000168,1.0,45,29,4,hatchback,95,7502,NW,urban,False,1.0934389206162647,0,False,True,25671.65905921324,2024,1,673.08,673.08
P0000169,1.0,23,6,9,sedan,100,12083,NW,urban,False,1.1597234295182972,0,True,True,45436.36850616403,2024,0,0.0,0.0
P0000170,1.0,38,21,7,sedan,104,18174,NW,urban,False,1.0421684256939852,0,False,False,18722.090468911763,2023,0,0.0,0.0
P0000171,1.0,45,28,7,sports,209,13452,NW,urban,True,1.0843477825952959,0,False,False,54111.50311166515,2023,0,0.0,0.0
P0000172,1.0,42,26,5,hatchback,96,18445,NW,urban,True,1.0002060488516418,0,False,False,37704.07697418431,2025,0,0.0,0.0
P0000173,1.0,30,13,9,hatchback,70,32652,NW,urban,True,0.882862775596066,0,False,False,70377.72623012261,2025,0,0.0,0.0
P0000174,1.0,50,34,10,hatchback,103,20088,NW,urban,True,1.039446449898524,0,False,False,43280.82267105131,2025,0,0.0,0.0
P0000175,1.0,47,28,1,sports,183,12860,NW,urban,True,1.1084668946484688,0,False,False,33404.76575105293,2023,0,0.0,0.0
P0000176,1.0,46,30,5,hatchback,92,30659,NW,urban,True,1.358244285859002,0,False,False,22738.00869434067,2025,0,0.0,0.0
P0000177,1.0,31,12,7,van,71,19009,NW,urban,False,0.862331921969536,0,True,False,34846.8442650605,2023,0,0.0,0.0
P0000178,0.75,25,6,8,sedan,94,8796,NW,urban,True,1.0999126570693771,0,False,True,53405.36467605884,2025,0,0.0,0.0
P0000179,1.0,57,38,2,SUV,115,13536,NW,urban,False,1.0745992189383955,0,True,False,36262.892233512364,2023,0,0.0,0.0
P0000180,1.0,35,18,7,sedan,108,15331,NW,urban,True,0.7783739668222951,0,False,False,24156.139618658253,2025,0,0.0,0.0
P0000181,1.0,36,17,7,sedan,99,19018,NW,urban,True,1.0810429907929087,0,False,False,52766.20082230089,2023,0,0.0,0.0
P0000182,0.75,41,22,3,sports,174,17617,NW,urban,False,0.901352649857482,0,False,False,15963.680929161197,2023,0,0.0,0.0
P0000183,1.0,45,26,6,hatchback,84,16370,NW,urban,False,1.1499748771477267,0,False,False,30887.863415737465,2023,0,0.0,0.0
P0000184,0.5,78,59,3,SUV,158,8372,NW,urban,False,1.2435732101046257,0,False,False,43801.200271831425,2025,0,0.0,0.0
P0000185,0.5,37,20,5,sports,186,6876,NW,urban,False,0.9225916572488674,0,False,False,36015.00383115877,2025,0,0.0,0.0
P0000186,1.0,55,37,5,hatchback,84,8280,NW,urban,True,1.1821950820983516,0,False,False,39733.85984305545,2024,0,0.0,0.0
P0000187,0.75,19,3,3,van,93,23907,NW,urban,True,1.0866514366991733,0,False,False,49098.210226672054,2025,0,0.0,0.0
P0000188,1.0,41,22,7,hatchback,60,14263,NW,urban,True,0.6576614554459042,0,False,True,42939.921262158656,2025,0,0.0,0.0
P0000189,1.0,44,27,7,hatchback,70,16261,NW,urban,False,0.9359929543336809,0,False,False,42883.76988861567,2025,0,0.0,0.0
P0000190,1.0,25,8,5,hatchback,107,4485,NW,urban,False,1.0322590417069604,0,False,False,41054.44321114575,2025,0,0.0,0.0
P0000191,0.75,28,11,5,SUV,132,17533,NW,urban,True,1.0991413926633988,0,False,True,39359.63912442907,2024,0,0.0,0.0
P0000192,1.0,37,18,4,hatchback,119,43777,NW,urban,True,1.0795004231315672,0,False,True,45259.611188801435,2023,0,0.0,0.0
P0000193,1.0,79,60,6,sedan,100,12405,NW,urban,True,1.04998329532533,0,False,False,55624.30022958933,2024,0,0.0,0.0
P0000194,1.0,38,20,3,SUV,125,15743,NW,urban,False,0.9134569129200485,0,False,False,41163.791181284396,2025,0,0.0,0.0
P0000195,0.5,56,39,7,hatchback,121,18164,NW,urban,True,0.9410276187067816,0,False,False,36319.687326058,2025,0,0.0,0.0
P0000196,1.0,52,34,5,hatchback,107,17583,NW,urban,False,0.958044637608333,0,False,False,44356.254017829044,2024,0,0.0,0.0
P0000197,1.0,38,20,9,hatchback,68,13209,NW,urban,True,1.4910517768155112,0,True,False,42181.1289177399,2023,0,0.0,0.0
P0000198,1.0,49,31,9,hatchback,76,11019,NW,urban,True,0.9455455635598219,0,False,False,61335.60100154889,2025,0,0.0,0.0
P0000199,1.0,19,3,6,sedan,66,6268,NW,urban,False,1.0299392334380977,0,False,False,26066.621321152477,2025,0,0.0,0.0
P0000200,1.0,27,8,8,sedan,123,11806,NW,urban,True,1.148135954351856,0,False,False,42278.843359767765,2024,0,0.0,0.0
P0000201,1.0,50,31,4,sports,178,23564,NW,urban,False,0.8790538393470997,1,False,False,37318.27550493464,2023,0,0.0,0.0
P0000202,1.0,48,29,5,SUV,137,10255,NW,urban,True,1.028344206641744,0,False,True,60480.31809918397,2024,0,0.0,0.0
